raw_code,raw_label,full_label,clean_label,label_class,major_category,ml_class,class_id,include_in_analysis,include_in_ml,color_hex,notes
AC,AC,Acropora cervicornis,Acropora cervicornis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AP,AP,Acropora prolifera,Acropora prolifera,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
APR,APR,Acropora prolifera,Acropora prolifera,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AA,AA,Agaricia,Agaricia,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AF,AF,Agaricia fragilis,Agaricia fragilis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AG,AG,Agaricia grahamae,Agaricia grahamae,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AH,AH,Undaria humili,Undaria humili,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AT,AT,Agaricia tenuifolia,Agaricia tenuifolia,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AU,AU,Agaricia undata,Agaricia undata,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AL,AL,Agaricia lamarcki,Agaricia lamarcki,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
