site,transect,image_id,major_category,n,n_points,percent
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,CORAL (C),5,100,5
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,CORALLINE ALGAE (CA),18,100,18
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,MACROALGAE (MA),11,100,11
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,PEYSSONNELIACEAE,16,100,16
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,"SAND, PAVEMENT, RUBBLE (SPR)",23,100,23
Hole in the Wall,HIW_158_W_U-1,HIW_158_W_U-1,SPONGES (S),27,100,27
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,CORAL (C),5,100,5
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,CORALLINE ALGAE (CA),13,100,13
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,MACROALGAE (MA),7,100,7.000000000000001
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,PEYSSONNELIACEAE,7,100,7.000000000000001
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,"SAND, PAVEMENT, RUBBLE (SPR)",51,100,51
Hoyo Terrace,H_211_E_U-1,H_211_E_U-1,SPONGES (S),17,100,17
