project_id,site,transect,survey_date,image_id,image_file,image_path,point_id,cpce_x,cpce_y,cpce_width,cpce_height,image_width,image_height,x_px,y_px,raw_code,raw_label,full_label,clean_label,label_class,major_category,ml_class,class_id,reviewer,notes,cpce_note_type,cpc_file,codefile_path,cpce_image_path,cpce_header_width,cpce_header_height,roi_x_min,roi_x_max,roi_y_min,roi_y_max,include_in_analysis,include_in_ml,color_hex
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,1,982,567,45581.55,28658.92,3040,1912,65,38,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,2,351,5422,45581.55,28658.92,3040,1912,23,362,S,S,Sand,Sand,subcategory,"SAND, PAVEMENT, RUBBLE (SPR)","SAND, PAVEMENT, RUBBLE (SPR)",8,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#d8c28a
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,3,1336,8356,45581.55,28658.92,3040,1912,89,557,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,4,3497,10228,45581.55,28658.92,3040,1912,233,682,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,5,1292,12293,45581.55,28658.92,3040,1912,86,820,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,6,2156,15436,45581.55,28658.92,3040,1912,144,1030,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,7,119,18377,45581.55,28658.92,3040,1912,8,1226,PEYS,PEYS,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,8,3748,22870,45581.55,28658.92,3040,1912,250,1526,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,9,2157,23734,45581.55,28658.92,3040,1912,144,1583,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,10,922,27389,45581.55,28658.92,3040,1912,61,1827,LOBO,LOBO,Lobophora variegata,Lobophora variegata,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#33cc66
