image_id,point_id,x_px,y_px,raw_label,full_label,major_category,class_id
HIW_158_W_U-1,1,65,38,SPO,Sponge,SPONGES (S),2
HIW_158_W_U-1,2,23,362,S,Sand,"SAND, PAVEMENT, RUBBLE (SPR)",8
HIW_158_W_U-1,3,89,557,CALG,Coralline algae,CORALLINE ALGAE (CA),7
HIW_158_W_U-1,4,233,682,SPO,Sponge,SPONGES (S),2
HIW_158_W_U-1,5,86,820,SPO,Sponge,SPONGES (S),2
HIW_158_W_U-1,6,144,1030,SPO,Sponge,SPONGES (S),2
HIW_158_W_U-1,7,8,1226,PEYS,Peyssonnelia,PEYSSONNELIACEAE,5
HIW_158_W_U-1,8,250,1526,CALG,Coralline algae,CORALLINE ALGAE (CA),7
HIW_158_W_U-1,9,144,1583,SPO,Sponge,SPONGES (S),2
HIW_158_W_U-1,10,61,1827,LOBO,Lobophora variegata,MACROALGAE (MA),4
